Comm_num,COMMUNITY,Area_kmsq
1,ROGERS PARK,51.2599024506
2,WEST RIDGE,98.4290948621
3,UPTOWN,65.0956427289
4,LINCOLN SQUARE,71.3523282399
5,NORTH CENTER,57.05416785
6,LAKE VIEW,87.2147992728
7,LINCOLN PARK,88.3164004728
8,NEAR NORTH SIDE,76.6758959728
9,EDISON PARK,31.6363137864
10,NORWOOD PARK,121.95910547
11,JEFFERSON PARK,64.8681616818
12,FOREST GLEN,89.1308936364
13,NORTH PARK,70.2887064343
14,ALBANY PARK,53.5422308191
15,PORTAGE PARK,110.196097139
16,IRVING PARK,89.6113823106
17,DUNNING,103.595001175
18,MONTCLARE,27.5763936325
19,BELMONT CRAGIN,109.099414689
20,HERMOSA,32.6020594055
21,AVONDALE,55.290595473
22,LOGAN SQUARE,100.0575667
23,HUMBOLDT PARK,100.480876502
24,WEST TOWN,127.562904597
25,AUSTIN,199.254203427
26,WEST GARFIELD PARK,36.0928488151
27,EAST GARFIELD PARK,53.8832208462
28,NEAR WEST SIDE,158.492466554
29,NORTH LAWNDALE,89.4874220242
30,SOUTH LAWNDALE,127.998297867
31,LOWER WEST SIDE,81.5507236377
32,LOOP,46.3355654586
33,NEAR SOUTH SIDE,49.7696394541
34,ARMOUR SQUARE,27.7661960954
35,DOUGLAS,46.0046211581
36,OAKLAND,16.9139610408
37,FULLER PARK,19.9167048692
38,GRAND BOULEVARD,48.4925031554
39,KENWOOD,29.0717419283
40,WASHINGTON PARK,42.3738814842
41,HYDE PARK,45.1053801732
42,WOODLAWN,57.815179512
43,SOUTH SHORE,81.8127163958
44,CHATHAM,82.3206703112
45,AVALON PARK,34.8527377366
46,SOUTH CHICAGO,93.2721850092
47,BURNSIDE,16.9959832737
48,CALUMET HEIGHTS,48.8262415643
49,ROSELAND,134.31370673
50,PULLMAN,59.001555602
51,SOUTH DEERING,303.79705966
52,EAST SIDE,83.2417280493
53,WEST PULLMAN,99.3651980822
54,RIVERDALE,98.3894974143
55,HEGEWISCH,145.965741437
56,GARFIELD RIDGE,117.890778429
57,ARCHER HEIGHTS,55.9225057212
58,BRIGHTON PARK,75.8927903114
59,MCKINLEY PARK,39.4317996479
60,BRIDGEPORT,58.2915192767
61,NEW CITY,134.636963254
62,WEST ELSDON,32.7110914259
63,GAGE PARK,61.2848961132
64,CLEARING,71.1451923827
65,WEST LAWN,82.3153016831
66,CHICAGO LAWN,98.2794651151
67,WEST ENGLEWOOD,87.9476919478
68,ENGLEWOOD,85.6523230826
69,GREATER GRAND CROSSING,98.8531677093
70,ASHBURN,135.460337208
71,AUBURN GRESHAM,105.065353602
72,BEVERLY,88.7793639384
73,WASHINGTON HEIGHTS,79.6357528769
74,MOUNT GREENWOOD,75.5842900209
75,MORGAN PARK,91.8773406988
76,OHARE,371.835607687
77,EDGEWATER,48.4499908397
