GEOID,GEOG,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH
14,Albany Park,34.6,16040,22399,2461,7391,1515,49806,3522,7924,4140,1323
57,Archer Heights,31.7,2104,10608,131,818,41,13702,513,1559,1179,662
34,Armour Square,45.6,1897,598,1135,9913,54,13597,2324,2072,797,218
70,Ashburn,36.4,4110,17918,19888,410,1030,43356,1091,4347,4698,2988
71,Auburn Gresham,40.5,524,1001,43791,141,452,45909,5217,7129,3797,1018
25,Austin,36.2,5288,14113,72886,440,1000,93727,10860,12607,6523,2670
45,Avalon Park,45.2,93,9,9339,70,160,9671,909,1813,906,362
21,Avondale,32.9,13234,21471,795,1591,1027,38118,2629,6172,3795,1043
19,Belmont Cragin,34.9,10398,63777,1865,1453,1057,78550,3279,8229,7270,3669
72,Beverly,44.6,11383,978,6774,160,496,19791,381,2839,3144,1117
60,Bridgeport,37.5,11806,7545,1039,13648,443,34481,2541,6149,3318,971
58,Brighton Park,31.3,3014,35720,529,4514,379,44156,2035,5144,3765,1637
47,Burnside,45.7,10,39,1931,0,26,2006,300,351,184,53
48,Calumet Heights,47.7,143,477,12056,9,130,12815,1049,2579,1294,397
44,Chatham,40.4,585,262,29667,124,371,31009,4966,6041,2305,612
66,Chicago Lawn,32.1,1525,26481,22177,265,904,51352,4477,6083,3867,1941
64,Clearing,36.3,10445,13502,567,126,336,24976,990,3530,3147,1170
35,Douglas,31.4,2440,730,14184,3168,803,21325,3980,4556,1108,123
17,Dunning,41.9,27080,12855,722,2509,279,43445,1146,5764,5956,2610
27,East Garfield Park,31.5,1128,537,16727,119,423,18934,3055,2618,842,278
52,East Side,32.1,3251,19422,867,106,45,23691,813,2709,2325,1120
77,Edgewater,38.3,32630,8673,7096,7169,2081,57649,11278,13342,3905,750
9,Edison Park,41.9,9246,1122,42,384,318,11112,311,1646,1964,675
68,Englewood,34.3,140,846,21692,68,175,22921,4374,3301,1066,242
12,Forest Glen,42.6,13639,2935,231,2076,525,19406,323,2481,2983,1192
37,Fuller Park,48.5,87,133,2162,7,6,2395,680,320,120,30
63,Gage Park,29.1,1475,34222,1497,232,52,37478,1687,3208,3234,1699
56,Garfield Ridge,39,15550,18916,1954,450,274,37144,1003,4167,5094,2037
38,Grand Boulevard,38,816,513,20139,157,584,22209,3964,4634,1545,430
69,Greater Grand Crossing,35.8,304,524,28839,4,478,30149,4944,5043,1552,595
55,Hegewisch,41.3,3198,5515,385,1,22,9121,447,1201,1493,398
20,Hermosa,34.5,2513,19362,910,518,178,23481,1040,2783,2369,920
23,Humboldt Park,32.8,4265,32318,17697,347,737,55364,4196,7848,3867,1607
41,Hyde Park,31.7,13156,2047,7268,3719,1292,27482,5118,6471,1526,173
16,Irving Park,36.6,22902,22426,1750,4529,1923,53530,2891,9450,6421,1799
11,Jefferson Park,40.2,17060,6806,293,2625,719,27503,1130,4117,3644,1490
39,Kenwood,36.9,3411,435,12108,1245,755,17954,2888,5029,1318,336
6,Lake View,31.5,78668,8674,4044,7023,2907,101316,19218,25684,7163,1415
7,Lincoln Park,30.8,54642,4340,3414,4995,2074,69465,9864,15944,5736,851
4,Lincoln Square,35.3,27165,7611,1470,3820,2037,42103,3730,9663,4280,674
22,Logan Square,32.2,36236,28312,2933,2831,2024,72336,6159,15036,7055,1582
31,Lower West Side,32.3,6944,23327,1140,1327,465,33203,3815,5301,2537,812
59,McKinley Park,36.2,2625,8552,221,3625,154,15177,813,2331,1473,558
18,Montclare,37.9,4506,8581,388,460,383,14318,703,1475,1534,877
75,Morgan Park,43.5,6320,901,13216,61,570,21068,894,3775,2517,922
74,Mount Greenwood,37.8,15899,2010,678,354,249,19190,291,2118,3176,1107
8,Near North Side,34.9,65416,5257,7649,12506,2490,93318,24019,27412,5149,589
33,Near South Side,38,13171,1377,5896,3470,815,24729,3387,8881,2129,85
28,Near West Side,31.3,27287,5839,16885,11246,1913,63170,10047,13762,4335,470
61,New City,32.1,4991,24266,9096,763,327,39443,3480,5316,2867,1110
5,North Center,34.6,27629,4070,750,1737,1357,35543,2177,6800,4442,674
29,North Lawndale,31.6,1159,2966,27522,49,377,32073,4602,4328,1694,451
13,North Park,38.7,9128,3807,523,4764,692,18914,1102,2794,2013,650
10,Norwood Park,42.9,29421,5749,297,1618,998,38083,1824,5035,5932,2293
36,Oakland,32.9,206,300,6580,71,70,7227,1251,1551,280,151
76,O'Hare,37.4,9603,1381,256,1582,253,13075,661,3391,1802,369
15,Portage Park,38.9,30287,28009,981,3391,1931,64599,2441,9216,7699,3123
50,Pullman,40.7,682,377,5544,9,228,6840,651,1739,533,224
54,Riverdale,23.1,89,258,6990,22,0,7359,1389,1062,136,54
1,Rogers Park,34,24357,10887,15187,2695,2349,55475,9629,11131,3612,460
49,Roseland,39.6,557,459,37280,165,701,39162,3799,6054,3097,1053
46,South Chicago,34.4,842,5914,22895,104,181,29936,3604,4292,2486,452
51,South Deering,34.3,587,4767,10077,0,44,15475,1062,2448,1287,509
30,South Lawndale,31,3112,59873,8898,95,179,72157,3708,8466,4140,1764
43,South Shore,37.1,1339,1265,48978,157,715,52454,10305,9800,2608,938
32,The Loop,32.3,23855,3398,3000,7111,1291,38655,9234,9698,1763,28
3,Uptown,36.5,31974,8609,10476,6207,1713,58979,12678,14112,3105,615
73,Washington Heights,41.9,360,305,25698,43,336,26742,1683,4202,2353,1049
40,Washington Park,30.2,121,263,10146,0,439,10969,2108,1984,385,49
62,West Elsdon,31.2,2775,15490,320,539,26,19150,447,1643,1924,1169
67,West Englewood,40.3,425,2468,23097,24,332,26346,3342,4043,1593,505
26,West Garfield Park,31.3,407,485,15282,0,247,16421,2426,1896,740,292
65,West Lawn,32.9,4028,26775,845,142,96,31886,1012,3444,3092,1724
53,West Pullman,36.4,212,1551,24762,0,513,27038,1704,3977,2426,1029
2,West Ridge,35.5,31836,14835,9086,18650,4059,78466,3810,12756,6990,2158
24,West Town,32.3,53847,18728,5727,4144,2252,84698,7824,19993,8787,1633
42,Woodlawn,32.3,1815,810,18634,836,560,22655,3760,4090,1225,232
